"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"/Users/va/programming/Projects/learni/convex/_generated/api.d.ts", "TypeScript", 0, 19, 0, 18, 3, 40
"/Users/va/programming/Projects/learni/convex/_generated/api.js", "JavaScript", 3, 0, 0, 18, 3, 24
"/Users/va/programming/Projects/learni/convex/_generated/dataModel.d.ts", "TypeScript", 0, 7, 0, 46, 7, 60
"/Users/va/programming/Projects/learni/convex/_generated/server.d.ts", "TypeScript", 0, 24, 0, 106, 14, 144
"/Users/va/programming/Projects/learni/convex/_generated/server.js", "JavaScript", 16, 0, 0, 66, 9, 91
"/Users/va/programming/Projects/learni/convex/course.js", "JavaScript", 38, 0, 0, 0, 7, 45
"/Users/va/programming/Projects/learni/convex/schema.js", "JavaScript", 48, 0, 0, 0, 6, 54
"/Users/va/programming/Projects/learni/learni.code-workspace", "JSON with Comments", 0, 0, 39, 6, 0, 45
"/Users/va/programming/Projects/learni/svelte.config.js", "JavaScript", 9, 0, 0, 4, 8, 21
"/Users/va/programming/Projects/learni/tailwind.config.js", "JavaScript", 17, 0, 0, 1, 4, 22
"/Users/va/programming/Projects/learni/vite.config.js", "JavaScript", 5, 0, 0, 0, 2, 7
"Total", "-", 136, 50, 39, 265, 63, 553